genero;nivel_formacion;pais;rubro;dotacion;origen_capital;puesto;funcion_rh;anios_experiencia;tipo_contratacion;sueldo_bruto;satisfaccion;busqueda;tipo_cambio;multiplicador;sueldo_ft;sueldo_dolar;cuenta
Masculino;Secundario completo;Argentina;"Transporte (incluyendo aviación civil; ferrocarriles por carretera)";215;Nacional;Responsable;Generalista;10;Full time;84000;5;No,  pero escucho ofertas;83.89;1;84000;1001.3112409107164;1
Femenino;Universitario completo;Argentina;Tecnologías de Información, Sistemas, y afines;200;Nacional;Analista;Reclutamiento y selección;5;Full time;29000;4;No,  pero escucho ofertas;83.89;1;29000;345.6907855525092;1
Masculino;Universitario completo;Argentina;Comercio;86;Nacional;Responsable;Generalista;12;Full time;38500;3;Sí, activamente;83.89;1;38500;458.93431875074504;1
Masculino;Maestría en curso;Argentina;Función pública;25000;Nacional;Jefe;People Analytics;6;Full time;92000;4;No,  pero escucho ofertas;83.89;1;92000;1096.6742162355465;1
Masculino;Universitario completo;Argentina;Minería (carbón, otra minería);186;Nacional;Administrativo;Administración de personal;2;Full time;43954.43;3;No,  pero escucho ofertas;83.89;1;43954.43;523.9531529383717;1
Femenino;Maestría completa;Argentina;"Agricultura; plantaciones,otros sectores rurales";1600;Nacional;Responsable;Reclutamiento y selección;9;Full time;103000;4;Sí, activamente;83.89;1;103000;1227.798307307188;1
Femenino;Maestría en curso;Argentina;Tecnologías de Información, Sistemas, y afines;300;Nacional;Analista;Capacitación y desarrollo;10;Full time;29400;3;Sí, activamente;83.89;1;29400;350.4589343187507;1
Femenino;Universitario en curso;Argentina;Comercio;94;Nacional;Administrativo;Administración de personal;1;Part time;30000;4;No,  pero escucho ofertas;83.89;1.5;45000;536.4167362021695;1
Femenino;Universitario en curso;Argentina;Comercio;94;Nacional;Administrativo;Administración de personal;1;Part time;30000;4;No,  pero escucho ofertas;83.89;1.5;45000;536.4167362021695;1
Femenino;Universitario completo;Argentina;Comercio;30;Nacional;Responsable;Administración de personal;2;Part time;22000;2;Sí, activamente;83.89;1.5;33000;393.3722732149243;1
